operacion;estado;sub;fecha;asesor
209926;INVESTIGACION;DATOS EXTERNOS SUPER GIROS;20220118;SUPERGIROS1
4943903;ACUERDO;CUOTAS FIJAS;20220209;VIVIANA.MAHECHA
2066837;INVESTIGACION;DATOS EXTERNOS EFECTY;20220211;EFECTY1
3521755;INVESTIGACION;DATOS EXTERNOS EFECTY;20220211;EFECTY1
4834110;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
911081;INVESTIGACION;DATOS EXTERNOS EFECTY;20220211;EFECTY1
171824;INVESTIGACION;DATOS EXTERNOS EFECTY;20220211;EFECTY1
4237979;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
4400676;INVESTIGACION;PRIMER BARRIDO;20220118;CEGROUP.BARRIDO1
4688585;INVESTIGACION;PRIMER BARRIDO;20210928;CEGROUP.BARRIDO1
2333807;INVESTIGACION;PRIMER BARRIDO;20220202;CEGROUP.BARRIDO1
3882250;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
910840;INVESTIGACION;PRIMER BARRIDO;20211202;CEGROUP.BARRIDO1
4685081;RENUENTE;SIN INTENSION DE PAGO;20220210;CEGROUP.RENUENTES
3543219;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
1408138;INVESTIGACION;PRIMER BARRIDO;20220202;CEGROUP.BARRIDO1
2316593;INVESTIGACION;PRIMER BARRIDO;20220208;CEGROUP.BARRIDO2
3227992;INVESTIGACION;PRIMER BARRIDO;20210907;CEGROUP.BARRIDO1
3263017;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
4620221;INVESTIGACION;PRIMER BARRIDO;20211202;CEGROUP.BARRIDO1
1711981;INVESTIGACION;PRIMER BARRIDO;20220202;CEGROUP.BARRIDO1
2502558;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
905764;INVESTIGACION;PRIMER BARRIDO;20211004;CEGROUP.BARRIDO1
4400583;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
5021682;INVESTIGACION;PRIMER BARRIDO;20220202;CEGROUP.BARRIDO1
4779866;INVESTIGACION;PRIMER BARRIDO;20220202;CEGROUP.BARRIDO1
174002;INVESTIGACION;PRIMER BARRIDO;20220125;CEGROUP.BARRIDO1
5055556;INVESTIGACION;SEGUNDO BARRIDO;20220208;CEGROUP.BARRIDO2
4240128;INVESTIGACION;PRIMER BARRIDO;20220208;CEGROUP.BARRIDO2
2970249;INVESTIGACION;PRIMER BARRIDO;20220208;CEGROUP.BARRIDO2
4348455;RENUENTE;SIN INTENSION DE PAGO;20220210;CEGROUP.RENUENTES
2146504;INVESTIGACION;PRIMER BARRIDO;20220211;CEGROUP.BARRIDO1
5435688;INVESTIGACION;PRIMER BARRIDO;20220208;CEGROUP.BARRIDO2
3050827;INVESTIGACION;SEGUNDO BARRIDO;20220208;CEGROUP.BARRIDO2
3880243;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
4997890;INVESTIGACION;SEGUNDO BARRIDO;20211122;CEGROUP.BARRIDO2
4965859;INVESTIGACION;SEGUNDO BARRIDO;20211122;CEGROUP.BARRIDO2
4343897;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
1605102;INVESTIGACION;SEGUNDO BARRIDO;20211202;CEGROUP.BARRIDO2
2430967;RENUENTE;RENUENTE;20220118;CEGROUP.JURIDICO
5341571;INVESTIGACION;SEGUNDO BARRIDO;20220112;CEGROUP.BARRIDO2
5116917;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
4159241;INVESTIGACION;SEGUNDO BARRIDO;20220112;CEGROUP.BARRIDO2
4414600;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
2789941;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
3610121;INVESTIGACION;SEGUNDO BARRIDO;20220112;CEGROUP.BARRIDO2
3306419;RENUENTE;NO CONTESTA;20220202;CEGROUP.RENUENTES
1429238;INVESTIGACION;PRIMER BARRIDO;20211202;CEGROUP.BARRIDO1
3160017;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
2024331;INVESTIGACION;PRIMER BARRIDO;20211202;CEGROUP.BARRIDO1
3487753;RENUENTE;SIN INTENSION DE PAGO;20220202;CEGROUP.RENUENTES
383186;INVESTIGACION;PRIMER BARRIDO;20220211;CEGROUP.BARRIDO1
5344705;INVESTIGACION;SEGUNDO BARRIDO;20220112;CEGROUP.BARRIDO2
4238839;RENUENTE;SIN INTENSION DE PAGO;20220210;CEGROUP.RENUENTES
4072617;RENUENTE;INTENSION DE PAGO;20220211;CEGROUP.RENUENTES
4408050;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
3451723;INVESTIGACION;DATOS EXTERNOS SUPER GIROS;20220209;SUPERGIROS1
3585589;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
4190972;RENUENTE;SIN INTENSION DE PAGO;20220129;CEGROUP.RENUENTES
5016016;INVESTIGACION;PRIMER BARRIDO;20220117;CEGROUP.BARRIDO1
4835226;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
4880203;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
4263373;RENUENTE;SIN INTENSION DE PAGO;20220129;CEGROUP.RENUENTES
5251724;INVESTIGACION;SEGUNDO BARRIDO;20220112;CEGROUP.BARRIDO2
4318331;RENUENTE;MENSAJE EXTERNO;20220202;CEGROUP.RENUENTES
5046360;RENUENTE;SIN INTENSION DE PAGO;20220126;CEGROUP.RENUENTES
453503;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
4228213;RENUENTE;SIN INTENSION DE PAGO;20220126;CEGROUP.RENUENTES
5168064;ACUERDO;CUOTAS PARCIALES;20220210;ALEXIS.CONTRERAS
3049316;RENUENTE;MENSAJE EXTERNO;20220209;CEGROUP.RENUENTES
2587785;INVESTIGACION;PRIMER BARRIDO;20211007;CEGROUP.BARRIDO1
4112795;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
5068176;RENUENTE;NO CONTESTA;20220203;PAULA.MEDINA
3533335;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
3750859;INVESTIGACION;PRIMER BARRIDO;20211124;CEGROUP.BARRIDO1
4638704;INVESTIGACION;PRIMER BARRIDO;20211006;CEGROUP.BARRIDO1
2902669;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
5213228;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
4540448;INVESTIGACION;SEGUNDO BARRIDO;20211013;CEGROUP.BARRIDO2
3902739;ACUERDO;CUOTAS FIJAS;20220129;ANDREA.PUENTES
4239709;INVESTIGACION;SEGUNDO BARRIDO;20211001;CEGROUP.BARRIDO2
4321525;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
3088728;RENUENTE;SIN INTENSION DE PAGO;20220204;CEGROUP.RENUENTES
4514913;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
3809562;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
905539;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
